arm,subject,seed,threshold,macro_f1_pct,readme_time
faa,SA01,42,0.5,98.21,2026-09-01T19:53:00+08:00
faa,SA01,123,0.5,98.14,2026-09-01T19:53:00+08:00
faa,SA01,456,0.5,98.08,2026-09-01T19:53:00+08:00
faa,SA01,789,0.5,98.33,2026-09-01T19:53:00+08:00
faa,SA01,1024,0.5,98.19,2026-09-01T19:53:00+08:00
faa,SA02,42,0.5,97.86,2026-09-01T19:53:00+08:00
faa,SA02,123,0.5,97.79,2026-09-01T19:53:00+08:00
faa,SA02,456,0.5,97.92,2026-09-01T19:53:00+08:00
faa,SA02,789,0.5,98.04,2026-09-01T19:53:00+08:00
faa,SA02,1024,0.5,97.88,2026-09-01T19:53:00+08:00
faa,SA03,42,0.5,97.45,2026-09-01T19:53:00+08:00
faa,SA03,123,0.5,97.52,2026-09-01T19:53:00+08:00
faa,SA03,456,0.5,97.38,2026-09-01T19:53:00+08:00
faa,SA03,789,0.5,97.61,2026-09-01T19:53:00+08:00
faa,SA03,1024,0.5,97.49,2026-09-01T19:53:00+08:00
faa,SA04,42,0.5,98.33,2026-09-01T19:53:00+08:00
faa,SA04,123,0.5,98.27,2026-09-01T19:53:00+08:00
faa,SA04,456,0.5,98.41,2026-09-01T19:53:00+08:00
faa,SA04,789,0.5,98.29,2026-09-01T19:53:00+08:00
faa,SA04,1024,0.5,98.36,2026-09-01T19:53:00+08:00
faa,SA05,42,0.5,97.92,2026-09-01T19:53:00+08:00
faa,SA05,123,0.5,97.85,2026-09-01T19:53:00+08:00
faa,SA05,456,0.5,98.01,2026-09-01T19:53:00+08:00
faa,SA05,789,0.5,97.96,2026-09-01T19:53:00+08:00
faa,SA05,1024,0.5,97.89,2026-09-01T19:53:00+08:00
faa,SA06,42,0.5,97.64,2026-09-01T19:53:00+08:00
faa,SA06,123,0.5,97.71,2026-09-01T19:53:00+08:00
faa,SA06,456,0.5,97.58,2026-09-01T19:53:00+08:00
faa,SA06,789,0.5,97.82,2026-09-01T19:53:00+08:00
faa,SA06,1024,0.5,97.67,2026-09-01T19:53:00+08:00
faa,SA07,42,0.5,96.89,2026-09-01T19:53:00+08:00
faa,SA07,123,0.5,96.94,2026-09-01T19:53:00+08:00
faa,SA07,456,0.5,96.78,2026-09-01T19:53:00+08:00
faa,SA07,789,0.5,97.05,2026-09-01T19:53:00+08:00
faa,SA07,1024,0.5,96.92,2026-09-01T19:53:00+08:00
faa,SA08,42,0.5,98.02,2026-09-01T19:53:00+08:00
faa,SA08,123,0.5,97.96,2026-09-01T19:53:00+08:00
faa,SA08,456,0.5,98.11,2026-09-01T19:53:00+08:00
faa,SA08,789,0.5,98.07,2026-09-01T19:53:00+08:00
