subject,seed,faa_macro_f1_pct,no_faa_macro_f1_pct,reported_delta_pp,recomputed_delta_pp,readme_time
SA01,42,98.21,97.56,0.65,0.65,2026-09-01T20:37:00+08:00
SA01,123,98.14,97.61,0.53,0.53,2026-09-01T20:37:00+08:00
SA01,456,98.08,97.48,0.6,0.6,2026-09-01T20:37:00+08:00
SA01,789,98.33,97.71,0.62,0.62,2026-09-01T20:37:00+08:00
SA01,1024,98.19,97.59,0.6,0.6,2026-09-01T20:37:00+08:00
SA02,42,97.86,97.12,0.74,0.74,2026-09-01T20:37:00+08:00
SA02,123,97.79,97.18,0.61,0.61,2026-09-01T20:37:00+08:00
SA02,456,97.92,97.05,0.87,0.87,2026-09-01T20:37:00+08:00
SA02,789,98.04,97.26,0.78,0.78,2026-09-01T20:37:00+08:00
SA02,1024,97.88,97.15,0.73,0.73,2026-09-01T20:37:00+08:00
SA03,42,97.45,96.71,0.74,0.74,2026-09-01T20:37:00+08:00
SA03,123,97.52,96.79,0.73,0.73,2026-09-01T20:37:00+08:00
SA03,456,97.38,96.65,0.73,0.73,2026-09-01T20:37:00+08:00
SA03,789,97.61,96.92,0.69,0.69,2026-09-01T20:37:00+08:00
SA03,1024,97.49,96.75,0.74,0.74,2026-09-01T20:37:00+08:00
SA04,42,98.33,97.88,0.45,0.45,2026-09-01T20:37:00+08:00
SA04,123,98.27,97.94,0.33,0.33,2026-09-01T20:37:00+08:00
SA04,456,98.41,97.81,0.6,0.6,2026-09-01T20:37:00+08:00
SA04,789,98.29,98.01,0.28,0.28,2026-09-01T20:37:00+08:00
SA04,1024,98.36,97.91,0.45,0.45,2026-09-01T20:37:00+08:00
SA05,42,97.92,97.35,0.57,0.57,2026-09-01T20:37:00+08:00
SA05,123,97.85,97.41,0.44,0.44,2026-09-01T20:37:00+08:00
SA05,456,98.01,97.28,0.73,0.73,2026-09-01T20:37:00+08:00
SA05,789,97.96,97.48,0.48,0.48,2026-09-01T20:37:00+08:00
SA05,1024,97.89,97.37,0.52,0.52,2026-09-01T20:37:00+08:00
SA06,42,97.64,97.05,0.59,0.59,2026-09-01T20:37:00+08:00
SA06,123,97.71,97.12,0.59,0.59,2026-09-01T20:37:00+08:00
SA06,456,97.58,96.98,0.6,0.6,2026-09-01T20:37:00+08:00
SA06,789,97.82,97.21,0.61,0.61,2026-09-01T20:37:00+08:00
SA06,1024,97.67,97.09,0.58,0.58,2026-09-01T20:37:00+08:00
SA07,42,96.89,96.15,0.74,0.74,2026-09-01T20:37:00+08:00
SA07,123,96.94,96.22,0.72,0.72,2026-09-01T20:37:00+08:00
SA07,456,96.78,96.08,0.7,0.7,2026-09-01T20:37:00+08:00
SA07,789,97.05,96.31,0.74,0.74,2026-09-01T20:37:00+08:00
SA07,1024,96.92,96.18,0.74,0.74,2026-09-01T20:37:00+08:00
SA08,42,98.02,97.48,0.54,0.54,2026-09-01T20:37:00+08:00
SA08,123,97.96,97.52,0.44,0.44,2026-09-01T20:37:00+08:00
SA08,456,98.11,97.41,0.7,0.7,2026-09-01T20:37:00+08:00
SA08,789,98.07,97.58,0.49,0.49,2026-09-01T20:37:00+08:00
SA08,1024,97.99,97.46,0.53,0.53,2026-09-01T20:37:00+08:00
SA09,42,97.56,96.94,0.62,0.62,2026-09-01T20:37:00+08:00
SA09,123,97.48,97.01,0.47,0.47,2026-09-01T20:37:00+08:00
SA09,456,97.63,96.88,0.75,0.75,2026-09-01T20:37:00+08:00
SA09,789,97.71,97.14,0.57,0.57,2026-09-01T20:37:00+08:00
SA09,1024,97.59,96.97,0.62,0.62,2026-09-01T20:37:00+08:00
SA10,42,97.73,97.02,0.71,0.71,2026-09-01T20:37:00+08:00
SA10,123,97.8,97.09,0.71,0.71,2026-09-01T20:37:00+08:00
SA10,456,97.66,96.95,0.71,0.71,2026-09-01T20:37:00+08:00
SA10,789,97.89,97.22,0.67,0.67,2026-09-01T20:37:00+08:00
SA10,1024,97.76,97.06,0.7,0.7,2026-09-01T20:37:00+08:00
SA11,42,98.14,97.61,0.53,0.53,2026-09-01T20:37:00+08:00
SA11,123,98.09,97.68,0.41,0.41,2026-09-01T20:37:00+08:00
SA11,456,98.22,97.54,0.68,0.68,2026-09-01T20:37:00+08:00
SA11,789,98.18,97.79,0.39,0.39,2026-09-01T20:37:00+08:00
SA11,1024,98.11,97.63,0.48,0.48,2026-09-01T20:37:00+08:00
SA12,42,96.71,95.83,0.88,0.88,2026-09-01T20:37:00+08:00
SA12,123,96.66,95.91,0.75,0.75,2026-09-01T20:37:00+08:00
SA12,456,96.79,95.76,1.03,1.03,2026-09-01T20:37:00+08:00
SA12,789,96.88,96.08,0.8,0.8,2026-09-01T20:37:00+08:00
SA12,1024,96.74,95.87,0.87,0.87,2026-09-01T20:37:00+08:00
